ClassCode,LocationID,Start Time (HH:MM),End Time (HH:MM)
COP3502,23,09:35,10:25
COP3503,23,10:40,11:30
COP3504,14,11:45,12:35
COT3100,23,08:30,09:20
COP3530,14,10:40,11:30
CDA3101,14,11:45,12:35
MAC2311,18,09:35,10:25
MAC2312,18,10:40,11:30
MAC2313,17,12:50,14:45
MAP2302,17,15:00,15:50
PHY2048,56,10:40,11:30
PHY2049,56,11:45,12:35
IDS2935,7,16:05,16:55
CEN3031,23,12:50,13:40
CIS4301,14,09:35,10:25
MAS3114,17,08:30,09:20
ENC3246,38,13:55,14:45
COP4600,23,15:00,16:55
STA3032,49,10:40,11:30
COP4020,56,12:50,13:40
COP4533,14,13:55,14:45
CNT4007,43,11:45,12:35
EEL3701,49,08:30,10:25
EEL4744,49,10:40,12:35
EEL3111,47,12:50,13:40
EEL4712,45,13:55,14:45
CEN4907,47,15:00,15:50
EEL3135,46,09:35,10:25
ENC1101,37,08:30,09:20
ENC1102,40,09:35,10:25
CHM2045,37,10:40,12:35
CHM2095,37,12:50,14:45
